Sample,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Repeat.Extract,No.PCR.Product,Treatment.,Temperature.,DPE.,Temp.DPE.,Temp.Treat.,Treat.Temp.DPE.,Path.Res.,Temp.Path.,Shannon__Genus,Simpson__Genus,Richness__Genus,Phylogenetic__Genus,Shannon__Genus_norm,Simpson__Genus_norm,Richness__Genus_norm,Phylogenetic__Genus_norm
218,192,28,1,32,1,0,0,0,0,0,2,2,4,9,4,24,1,3,19.82868961,10.18489774,101,26.95393,0.531203455,0.585951217,0.633523264,0.666929473
219,192,28,1,32,1,0,0,0,0,0,2,2,4,9,4,24,1,3,19.39010028,9.43434609,99,25.26091,0.523937758,0.562466498,0.62402696,0.636763812
220,192,28,1,32,1,1,1,11,0,0,2,2,4,9,4,24,2,4,32.40949317,19.60580128,78,20.26167,0.710721946,0.800271739,0.519515362,0.540896924
221,192,28,1,28,6,0,1,9,0,0,2,1,4,4,2,19,2,2,2.951745115,1.475818502,73,19.63382,0.113590718,0.079719935,0.493133726,0.528013928
224,192,28,1,28,6,1,1,3,0,0,2,1,4,4,2,19,2,2,13.88965025,5.887093043,100,25.66207,0.423814272,0.424522146,0.628784015,0.644005221
226,192,28,1,28,10,0,1,8,0,0,2,1,4,4,2,19,2,2,1.094138041,1.032476199,6,3.06931,0.002691466,0.003440141,0,0.026994762
227,192,28,1,28,10,0,1,1,0,0,2,1,4,4,2,19,2,2,2.451371033,1.674546093,37,12.64347,0.088901651,0.107855324,0.277186542,0.366679433
229,192,28,1,28,10,1,1,8,0,0,2,1,4,4,2,19,2,2,1.061194216,1.015427511,11,5.21327,0,0,0.060296516,0.128338427
231,192,28,1,35,3,1,0,0,0,0,2,3,4,14,6,29,1,5,14.15442994,7.00273626,88,21.86403,0.429089131,0.473964418,0.57044871,0.572855571
232,192,28,1,35,3,1,0,0,0,0,2,3,4,14,6,29,1,5,7.689230973,4.980602541,59,15.89699,0.279402883,0.378282092,0.415376371,0.446410013
233,192,28,1,35,3,1,0,0,0,0,2,3,4,14,6,29,1,5,15.35944696,8.686711246,85,22.82739,0.452435264,0.537487109,0.555407862,0.591479851
234,192,28,1,35,3,0,0,0,0,0,2,3,4,14,6,29,1,5,10.34775347,5.627692326,77,19.71592,0.347125738,0.411927137,0.514290988,0.529710727
238,192,28,1,32,8,0,1,3,0,0,2,2,4,9,4,24,2,4,30.08904423,17.63682946,115,29.47997,0.680966807,0.763951874,0.698129144,0.710143975
239,192,28,1,32,8,1,1,1,0,0,2,2,4,9,4,24,2,4,25.81579416,14.53124979,100,26.61139,0.622668523,0.69920114,0.628784015,0.660908296
241,206,42,0,35,4,1,0,0,0,0,1,3,5,15,5,15,1,5,14.54676199,9.411522324,54,14.1253,0.436806222,0.561728522,0.385962929,0.404185618
242,206,42,0,35,4,0,0,0,0,0,1,3,5,15,5,15,1,5,11.97085211,7.169699821,53,15.09943,0.383814946,0.480794142,0.379959609,0.42772494
243,206,42,0,35,4,0,0,0,0,0,1,3,5,15,5,15,1,5,15.14550864,9.360598787,69,17.84013,0.44836595,0.560076641,0.471536965,0.489968372
244,206,42,0,35,4,1,0,0,0,0,1,3,5,15,5,15,1,5,15.58351596,10.48118825,58,15.19138,0.456663987,0.594830137,0.409570863,0.429905136
246,206,42,0,32,12,0,0,0,0,0,1,2,5,10,3,10,1,3,11.65131077,5.754984245,66,16.38955,0.37681901,0.418166222,0.455029831,0.457704538
247,206,42,0,32,12,1,0,0,1,0,1,2,5,10,3,10,1,3,13.29052285,6.142172131,72,17.58994,0.411670776,0.43646848,0.487777044,0.484504706
249,206,42,0,32,12,0,0,0,0,0,1,2,5,10,3,10,1,3,15.97068616,7.110332839,82,19.2052,0.463892734,0.478380887,0.540166571,0.51909433
250,206,42,0,32,12,0,0,0,0,0,1,2,5,10,3,10,1,3,12.44275346,5.079895054,79,19.59316,0.3939613,0.383670669,0.524714679,0.527172209
252,206,42,0,28,9,1,0,0,0,0,1,1,5,5,1,5,1,1,11.96146846,5.23839467,71,18.6279,0.383610977,0.392095004,0.482392388,0.506913863
253,206,42,0,28,9,1,0,0,0,0,1,1,5,5,1,5,1,1,10.31219432,4.332239699,70,18.77641,0.3462877,0.340736184,0.476979215,0.510065995
254,206,42,0,28,9,0,0,0,0,0,1,1,5,5,1,5,1,1,16.95584603,7.11458877,91,23.13315,0.481862605,0.478554441,0.585298455,0.597304405
255,206,42,0,28,9,0,0,0,0,0,1,1,5,5,1,5,1,1,9.472891075,4.023279144,68,18.29835,0.326025927,0.321186843,0.466065055,0.499871692
256,206,42,0,28,7,0,0,0,0,0,1,1,5,5,1,5,1,1,12.13258854,5.164049867,69,18.10331,0.387316819,0.388170113,0.471536965,0.495672475
257,206,42,0,28,7,0,0,0,0,0,1,1,5,5,1,5,1,1,11.8799325,5.152612019,75,19.18025,0.381834945,0.387562143,0.503765257,0.518571916
